n,m,final_balance,total_return,trade_count,yearly_details
12,51,"₩108,929,152",10792.92%,82,"2014: ₩828,223 (-17.18%); 2015: ₩763,699 (-7.79%); 2016: ₩1,743,443 (128.29%); 2017: ₩5,623,932 (222.58%); 2018: ₩12,858,698 (128.64%); 2019: ₩13,868,216 (7.85%); 2020: ₩13,892,204 (0.17%); 2021: ₩63,460,467 (356.81%); 2022: ₩23,947,565 (-62.26%); 2023: ₩34,205,170 (42.83%); 2024: ₩108,929,152 (218.46%)"
12,52,"₩137,837,687",13683.77%,82,"2014: ₩784,926 (-21.51%); 2015: ₩722,376 (-7.97%); 2016: ₩1,644,159 (127.60%); 2017: ₩5,278,881 (221.07%); 2018: ₩12,069,764 (128.64%); 2019: ₩12,998,284 (7.69%); 2020: ₩17,009,415 (30.86%); 2021: ₩77,700,082 (356.81%); 2022: ₩29,559,223 (-61.96%); 2023: ₩42,220,504 (42.83%); 2024: ₩83,856,416 (98.62%); 2025: ₩137,837,687 (64.37%)"
12,53,"₩127,446,082",12644.61%,80,"2014: ₩784,926 (-21.51%); 2015: ₩726,576 (-7.43%); 2016: ₩1,634,147 (124.91%); 2017: ₩5,337,675 (226.63%); 2018: ₩11,615,306 (117.61%); 2019: ₩12,160,378 (4.69%); 2020: ₩15,197,042 (24.97%); 2021: ₩69,048,304 (354.35%); 2022: ₩27,330,749 (-60.42%); 2023: ₩39,037,493 (42.83%); 2024: ₩77,534,467 (98.62%); 2025: ₩127,446,082 (64.37%)"
12,54,"₩223,316,497",22231.65%,74,"2014: ₩784,926 (-21.51%); 2015: ₩720,018 (-8.27%); 2016: ₩1,619,399 (124.91%); 2017: ₩5,289,501 (226.63%); 2018: ₩14,765,212 (179.14%); 2019: ₩16,567,228 (12.20%); 2020: ₩26,087,448 (57.46%); 2021: ₩118,529,257 (354.35%); 2022: ₩48,226,419 (-59.31%); 2023: ₩68,403,172 (41.84%); 2024: ₩135,859,222 (98.62%); 2025: ₩223,316,497 (64.37%)"
12,55,"₩214,391,054",21339.11%,74,"2014: ₩784,926 (-21.51%); 2015: ₩694,622 (-11.50%); 2016: ₩1,557,082 (124.16%); 2017: ₩5,064,988 (225.29%); 2018: ₩14,373,958 (183.79%); 2019: ₩16,128,224 (12.20%); 2020: ₩25,243,782 (56.52%); 2021: ₩114,696,031 (354.35%); 2022: ₩47,314,755 (-58.75%); 2023: ₩67,110,091 (41.84%); 2024: ₩130,429,244 (94.35%); 2025: ₩214,391,054 (64.37%)"
12,56,"₩196,713,829",19571.38%,74,"2014: ₩730,469 (-26.95%); 2015: ₩641,745 (-12.15%); 2016: ₩1,457,692 (127.14%); 2017: ₩4,729,294 (224.44%); 2018: ₩13,421,290 (183.79%); 2019: ₩15,228,278 (13.46%); 2020: ₩23,835,193 (56.52%); 2021: ₩106,061,901 (344.98%); 2022: ₩43,752,978 (-58.75%); 2023: ₩61,384,327 (40.30%); 2024: ₩119,958,035 (95.42%); 2025: ₩196,713,829 (63.99%)"
12,57,"₩160,571,993",15957.20%,74,"2014: ₩730,469 (-26.95%); 2015: ₩633,090 (-13.33%); 2016: ₩1,455,253 (129.87%); 2017: ₩4,712,107 (223.80%); 2018: ₩13,059,787 (177.15%); 2019: ₩14,818,104 (13.46%); 2020: ₩22,131,142 (49.35%); 2021: ₩99,938,585 (351.57%); 2022: ₩41,226,969 (-58.75%); 2023: ₩49,201,902 (19.34%); 2024: ₩97,918,387 (99.01%); 2025: ₩160,571,993 (63.99%)"
12,58,"₩164,060,992",16306.10%,74,"2014: ₩742,003 (-25.80%); 2015: ₩665,274 (-10.34%); 2016: ₩1,512,153 (127.30%); 2017: ₩4,918,692 (225.28%); 2018: ₩13,632,347 (177.15%); 2019: ₩15,467,751 (13.46%); 2020: ₩22,977,440 (48.55%); 2021: ₩103,760,251 (351.57%); 2022: ₩42,025,900 (-59.50%); 2023: ₩50,155,378 (19.34%); 2024: ₩100,046,013 (99.47%); 2025: ₩164,060,992 (63.99%)"
12,59,"₩136,512,368",13551.24%,74,"2014: ₩742,003 (-25.80%); 2015: ₩669,173 (-9.82%); 2016: ₩1,503,025 (124.61%); 2017: ₩4,654,965 (209.71%); 2018: ₩13,340,301 (186.58%); 2019: ₩15,231,427 (14.18%); 2020: ₩22,418,298 (47.18%); 2021: ₩101,235,306 (351.57%); 2022: ₩37,931,364 (-62.53%); 2023: ₩41,639,404 (9.78%); 2024: ₩83,246,590 (99.92%); 2025: ₩136,512,368 (63.99%)"
12,60,"₩109,828,877",10882.89%,74,"2014: ₩742,003 (-25.80%); 2015: ₩696,180 (-6.18%); 2016: ₩1,517,014 (117.91%); 2017: ₩4,698,290 (209.71%); 2018: ₩13,464,462 (186.58%); 2019: ₩15,373,189 (14.18%); 2020: ₩22,626,950 (47.18%); 2021: ₩101,165,866 (347.10%); 2022: ₩30,213,435 (-70.13%); 2023: ₩31,875,051 (5.50%); 2024: ₩66,974,733 (110.12%); 2025: ₩109,828,877 (63.99%)"
12,61,"₩63,905,475",6290.55%,72,"2014: ₩742,003 (-25.80%); 2015: ₩631,102 (-14.95%); 2016: ₩1,375,207 (117.91%); 2017: ₩4,138,211 (200.92%); 2018: ₩11,859,377 (186.58%); 2019: ₩13,540,566 (14.18%); 2020: ₩19,964,173 (47.44%); 2021: ₩87,799,923 (339.79%); 2022: ₩28,829,193 (-67.16%); 2023: ₩31,647,436 (9.78%); 2024: ₩63,905,475 (101.93%)"
12,62,"₩65,332,252",6433.23%,72,"2014: ₩742,003 (-25.80%); 2015: ₩623,205 (-16.01%); 2016: ₩1,367,543 (119.44%); 2017: ₩4,115,151 (200.92%); 2018: ₩11,991,719 (191.40%); 2019: ₩13,691,670 (14.18%); 2020: ₩20,186,960 (47.44%); 2021: ₩88,779,713 (339.79%); 2022: ₩29,150,908 (-67.16%); 2023: ₩32,000,600 (9.78%); 2024: ₩65,332,252 (104.16%)"
12,63,"₩38,934,738",3793.47%,70,"2014: ₩742,003 (-25.80%); 2015: ₩618,500 (-16.64%); 2016: ₩817,506 (32.18%); 2017: ₩2,521,464 (208.43%); 2018: ₩7,347,651 (191.40%); 2019: ₩8,032,071 (9.31%); 2020: ₩11,669,580 (45.29%); 2021: ₩51,321,346 (339.79%); 2022: ₩16,958,036 (-66.96%); 2023: ₩18,615,795 (9.78%); 2024: ₩38,934,738 (109.15%)"
12,64,"₩31,073,818",3007.38%,68,"2014: ₩742,003 (-25.80%); 2015: ₩632,766 (-14.72%); 2016: ₩830,823 (31.30%); 2017: ₩2,286,219 (175.18%); 2018: ₩6,411,818 (180.46%); 2019: ₩7,357,386 (14.75%); 2020: ₩10,689,348 (45.29%); 2021: ₩47,997,072 (349.02%); 2022: ₩20,989,597 (-56.27%); 2023: ₩22,625,027 (7.79%); 2024: ₩31,073,818 (37.34%)"
12,65,"₩29,850,990",2885.10%,68,"2014: ₩742,003 (-25.80%); 2015: ₩632,766 (-14.72%); 2016: ₩836,800 (32.24%); 2017: ₩2,196,805 (162.52%); 2018: ₩6,161,054 (180.46%); 2019: ₩6,998,938 (13.60%); 2020: ₩10,168,570 (45.29%); 2021: ₩46,085,668 (353.22%); 2022: ₩20,263,325 (-56.03%); 2023: ₩21,842,167 (7.79%); 2024: ₩29,850,990 (36.67%)"
12,66,"₩30,470,911",2947.09%,68,"2014: ₩742,003 (-25.80%); 2015: ₩649,918 (-12.41%); 2016: ₩875,040 (34.64%); 2017: ₩2,408,335 (175.23%); 2018: ₩6,145,100 (155.16%); 2019: ₩7,260,418 (18.15%); 2020: ₩10,461,914 (44.10%); 2021: ₩47,042,736 (349.66%); 2022: ₩20,684,137 (-56.03%); 2023: ₩22,295,767 (7.79%); 2024: ₩30,470,911 (36.67%)"
12,67,"₩9,619,047",861.90%,68,"2014: ₩742,003 (-25.80%); 2015: ₩618,178 (-16.69%); 2016: ₩832,305 (34.64%); 2017: ₩2,313,624 (177.98%); 2018: ₩1,669,003 (-27.86%); 2019: ₩1,952,073 (16.96%); 2020: ₩2,642,738 (35.38%); 2021: ₩16,256,011 (515.12%); 2022: ₩6,973,938 (-57.10%); 2023: ₩7,124,606 (2.16%); 2024: ₩9,619,047 (35.01%)"
12,68,"₩78,488,428",7748.84%,68,"2014: ₩742,003 (-25.80%); 2015: ₩620,569 (-16.37%); 2016: ₩815,896 (31.48%); 2017: ₩2,262,123 (177.26%); 2018: ₩8,402,200 (271.43%); 2019: ₩18,666,453 (122.16%); 2020: ₩22,837,481 (22.35%); 2021: ₩129,804,744 (468.38%); 2022: ₩56,905,158 (-56.16%); 2023: ₩58,134,565 (2.16%); 2024: ₩78,488,428 (35.01%)"
12,69,"₩79,917,657",7891.77%,68,"2014: ₩742,003 (-25.80%); 2015: ₩619,291 (-16.54%); 2016: ₩814,216 (31.48%); 2017: ₩2,257,466 (177.26%); 2018: ₩8,527,823 (277.76%); 2019: ₩18,945,539 (122.16%); 2020: ₩23,178,929 (22.35%); 2021: ₩129,715,495 (459.63%); 2022: ₩56,425,724 (-56.50%); 2023: ₩57,644,773 (2.16%); 2024: ₩79,917,657 (38.64%)"
12,70,"₩72,195,954",7119.60%,68,"2014: ₩765,071 (-23.49%); 2015: ₩638,544 (-16.54%); 2016: ₩839,529 (31.48%); 2017: ₩2,327,646 (177.26%); 2018: ₩8,792,937 (277.76%); 2019: ₩18,079,463 (105.61%); 2020: ₩21,955,464 (21.44%); 2021: ₩119,763,370 (445.48%); 2022: ₩52,446,447 (-56.21%); 2023: ₩53,579,526 (2.16%); 2024: ₩72,195,954 (34.75%)"
12,71,"₩39,917,592",3891.76%,66,"2014: ₩765,071 (-23.49%); 2015: ₩636,083 (-16.86%); 2016: ₩836,294 (31.48%); 2017: ₩2,318,677 (177.26%); 2018: ₩6,615,886 (185.33%); 2019: ₩12,793,442 (93.37%); 2020: ₩15,536,189 (21.44%); 2021: ₩72,236,563 (364.96%); 2022: ₩32,218,947 (-55.40%); 2023: ₩29,783,970 (-7.56%); 2024: ₩39,917,592 (34.02%)"
12,72,"₩41,379,304",4037.93%,64,"2014: ₩765,071 (-23.49%); 2015: ₩621,743 (-18.73%); 2016: ₩826,414 (32.92%); 2017: ₩2,384,733 (188.56%); 2018: ₩7,020,589 (194.40%); 2019: ₩17,393,984 (147.76%); 2020: ₩15,589,584 (-10.37%); 2021: ₩73,394,194 (370.79%); 2022: ₩33,214,570 (-54.74%); 2023: ₩30,704,348 (-7.56%); 2024: ₩41,379,304 (34.77%)"
12,73,"₩28,725,512",2772.55%,60,"2014: ₩765,071 (-23.49%); 2015: ₩614,569 (-19.67%); 2016: ₩816,878 (32.92%); 2017: ₩2,357,217 (188.56%); 2018: ₩6,939,582 (194.40%); 2019: ₩17,193,284 (147.76%); 2020: ₩15,332,903 (-10.82%); 2021: ₩72,185,768 (370.79%); 2022: ₩34,558,190 (-52.13%); 2023: ₩31,946,422 (-7.56%); 2024: ₩28,725,512 (-10.08%)"
12,74,"₩31,545,426",3054.54%,58,"2014: ₩765,071 (-23.49%); 2015: ₩617,400 (-19.30%); 2016: ₩854,763 (38.45%); 2017: ₩2,454,392 (187.14%); 2018: ₩7,225,662 (194.40%); 2019: ₩18,881,107 (161.31%); 2020: ₩16,838,097 (-10.82%); 2021: ₩79,272,070 (370.79%); 2022: ₩37,950,684 (-52.13%); 2023: ₩35,082,526 (-7.56%); 2024: ₩31,545,426 (-10.08%)"
12,75,"₩32,641,741",3164.17%,56,"2014: ₩765,071 (-23.49%); 2015: ₩646,499 (-15.50%); 2016: ₩895,049 (38.45%); 2017: ₩2,571,888 (187.35%); 2018: ₩7,571,566 (194.40%); 2019: ₩19,784,976 (161.31%); 2020: ₩17,644,163 (-10.82%); 2021: ₩83,066,949 (370.79%); 2022: ₩39,045,003 (-53.00%); 2023: ₩36,094,141 (-7.56%); 2024: ₩32,641,741 (-9.56%)"
12,76,"₩34,207,355",3320.74%,56,"2014: ₩765,071 (-23.49%); 2015: ₩646,499 (-15.50%); 2016: ₩859,319 (32.92%); 2017: ₩2,364,761 (175.19%); 2018: ₩6,961,791 (194.40%); 2019: ₩18,191,595 (161.31%); 2020: ₩16,223,192 (-10.82%); 2021: ₩87,551,884 (439.67%); 2022: ₩41,153,114 (-53.00%); 2023: ₩38,042,929 (-7.56%); 2024: ₩34,207,355 (-10.08%)"
12,77,"₩31,523,118",3052.31%,56,"2014: ₩702,449 (-29.76%); 2015: ₩593,583 (-15.50%); 2016: ₩788,983 (32.92%); 2017: ₩2,171,204 (175.19%); 2018: ₩6,391,965 (194.40%); 2019: ₩16,702,603 (161.31%); 2020: ₩14,950,165 (-10.49%); 2021: ₩80,681,723 (439.67%); 2022: ₩37,923,845 (-53.00%); 2023: ₩35,057,716 (-7.56%); 2024: ₩31,523,118 (-10.08%)"
12,78,"₩34,242,696",3324.27%,56,"2014: ₩702,449 (-29.76%); 2015: ₩570,574 (-18.77%); 2016: ₩758,400 (32.92%); 2017: ₩2,087,042 (175.19%); 2018: ₩6,144,194 (194.40%); 2019: ₩16,055,164 (161.31%); 2020: ₩14,565,045 (-9.28%); 2021: ₩78,603,344 (439.67%); 2022: ₩38,847,125 (-50.58%); 2023: ₩38,082,233 (-1.97%); 2024: ₩34,242,696 (-10.08%)"
12,79,"₩38,563,239",3756.32%,56,"2014: ₩702,449 (-29.76%); 2015: ₩616,788 (-12.19%); 2016: ₩819,827 (32.92%); 2017: ₩2,256,085 (175.19%); 2018: ₩7,030,507 (211.62%); 2019: ₩18,371,155 (161.31%); 2020: ₩16,402,778 (-10.71%); 2021: ₩88,521,054 (439.67%); 2022: ₩43,748,628 (-50.58%); 2023: ₩42,887,226 (-1.97%); 2024: ₩38,563,239 (-10.08%)"
13,20,"₩19,742,788",1874.28%,166,"2014: ₩595,062 (-40.49%); 2015: ₩848,106 (42.52%); 2016: ₩750,745 (-11.48%); 2017: ₩9,314,321 (1140.68%); 2018: ₩6,152,888 (-33.94%); 2019: ₩7,805,360 (26.86%); 2020: ₩9,031,971 (15.71%); 2021: ₩11,614,740 (28.60%); 2022: ₩7,885,305 (-32.11%); 2023: ₩10,977,545 (39.22%); 2024: ₩21,312,284 (94.14%); 2025: ₩19,742,788 (-7.36%)"
13,21,"₩29,497,215",2849.72%,162,"2014: ₩542,744 (-45.73%); 2015: ₩804,213 (48.18%); 2016: ₩609,470 (-24.22%); 2017: ₩9,844,359 (1515.23%); 2018: ₩8,996,411 (-8.61%); 2019: ₩11,651,615 (29.51%); 2020: ₩14,030,097 (20.41%); 2021: ₩18,566,315 (32.33%); 2022: ₩11,783,677 (-36.53%); 2023: ₩15,754,395 (33.70%); 2024: ₩31,842,161 (102.12%); 2025: ₩29,497,215 (-7.36%)"
13,22,"₩28,356,533",2735.65%,156,"2014: ₩478,535 (-52.15%); 2015: ₩634,032 (32.49%); 2016: ₩620,806 (-2.09%); 2017: ₩11,355,552 (1729.16%); 2018: ₩8,190,336 (-27.87%); 2019: ₩11,074,424 (35.21%); 2020: ₩12,607,165 (13.84%); 2021: ₩17,298,150 (37.21%); 2022: ₩10,978,797 (-36.53%); 2023: ₩15,259,577 (38.99%); 2024: ₩30,610,799 (100.60%); 2025: ₩28,356,533 (-7.36%)"
13,23,"₩23,690,620",2269.06%,150,"2014: ₩723,229 (-27.68%); 2015: ₩951,685 (31.59%); 2016: ₩941,527 (-1.07%); 2017: ₩8,379,133 (789.95%); 2018: ₩6,419,353 (-23.39%); 2019: ₩9,241,806 (43.97%); 2020: ₩10,805,021 (16.91%); 2021: ₩14,692,822 (35.98%); 2022: ₩9,353,640 (-36.34%); 2023: ₩12,179,497 (30.21%); 2024: ₩23,506,743 (93.00%); 2025: ₩23,690,620 (0.78%)"
13,24,"₩26,866,184",2586.62%,148,"2014: ₩507,630 (-49.24%); 2015: ₩690,396 (36.00%); 2016: ₩692,478 (0.30%); 2017: ₩7,558,814 (991.56%); 2018: ₩6,603,060 (-12.64%); 2019: ₩8,945,246 (35.47%); 2020: ₩10,246,696 (14.55%); 2021: ₩16,332,246 (59.39%); 2022: ₩10,893,742 (-33.30%); 2023: ₩14,186,073 (30.22%); 2024: ₩26,657,660 (87.91%); 2025: ₩26,866,184 (0.78%)"
13,25,"₩30,387,467",2938.75%,146,"2014: ₩535,140 (-46.49%); 2015: ₩698,402 (30.51%); 2016: ₩789,596 (13.06%); 2017: ₩8,814,184 (1016.29%); 2018: ₩4,323,960 (-50.94%); 2019: ₩10,188,264 (135.62%); 2020: ₩11,632,065 (14.17%); 2021: ₩18,172,801 (56.23%); 2022: ₩11,585,007 (-36.25%); 2023: ₩14,637,267 (26.35%); 2024: ₩30,151,612 (105.99%); 2025: ₩30,387,467 (0.78%)"
13,26,"₩39,786,362",3878.64%,142,"2014: ₩535,140 (-46.49%); 2015: ₩682,160 (27.47%); 2016: ₩675,875 (-0.92%); 2017: ₩6,583,369 (874.05%); 2018: ₩3,296,358 (-49.93%); 2019: ₩7,721,979 (134.26%); 2020: ₩14,549,974 (88.42%); 2021: ₩25,552,150 (75.62%); 2022: ₩14,342,589 (-43.87%); 2023: ₩19,208,429 (33.93%); 2024: ₩39,477,556 (105.52%); 2025: ₩39,786,362 (0.78%)"
13,27,"₩55,875,872",5487.59%,134,"2014: ₩526,523 (-47.35%); 2015: ₩651,807 (23.79%); 2016: ₩672,896 (3.24%); 2017: ₩5,951,311 (784.43%); 2018: ₩2,979,880 (-49.93%); 2019: ₩6,808,311 (128.48%); 2020: ₩17,109,255 (151.30%); 2021: ₩34,447,485 (101.34%); 2022: ₩18,982,586 (-44.89%); 2023: ₩24,910,913 (31.23%); 2024: ₩55,129,794 (121.31%); 2025: ₩55,875,872 (1.35%)"
13,28,"₩60,294,266",5929.43%,128,"2014: ₩526,523 (-47.35%); 2015: ₩665,953 (26.48%); 2016: ₩639,834 (-3.92%); 2017: ₩5,367,052 (738.82%); 2018: ₩2,546,258 (-52.56%); 2019: ₩5,740,141 (125.43%); 2020: ₩13,985,103 (143.64%); 2021: ₩32,599,516 (133.10%); 2022: ₩20,068,172 (-38.44%); 2023: ₩26,087,312 (29.99%); 2024: ₩60,088,785 (130.34%); 2025: ₩60,294,266 (0.34%)"
13,29,"₩73,750,738",7275.07%,130,"2014: ₩475,971 (-52.40%); 2015: ₩603,215 (26.73%); 2016: ₩565,634 (-6.23%); 2017: ₩4,250,150 (651.40%); 2018: ₩3,491,208 (-17.86%); 2019: ₩4,130,001 (18.30%); 2020: ₩6,365,195 (54.12%); 2021: ₩39,549,906 (521.35%); 2022: ₩25,882,977 (-34.56%); 2023: ₩33,563,765 (29.68%); 2024: ₩73,499,398 (118.98%); 2025: ₩73,750,738 (0.34%)"
13,30,"₩16,489,736",1548.97%,124,"2014: ₩463,507 (-53.65%); 2015: ₩564,153 (21.71%); 2016: ₩562,618 (-0.27%); 2017: ₩4,183,618 (643.60%); 2018: ₩3,218,462 (-23.07%); 2019: ₩3,844,410 (19.45%); 2020: ₩5,941,718 (54.55%); 2021: ₩12,717,446 (114.04%); 2022: ₩8,684,821 (-31.71%); 2023: ₩11,385,671 (31.10%); 2024: ₩16,357,560 (43.67%); 2025: ₩16,489,736 (0.81%)"
13,31,"₩11,142,468",1014.25%,116,"2014: ₩463,507 (-53.65%); 2015: ₩458,934 (-0.99%); 2016: ₩595,399 (29.74%); 2017: ₩4,247,030 (613.31%); 2018: ₩3,411,195 (-19.68%); 2019: ₩3,593,694 (5.35%); 2020: ₩5,445,062 (51.52%); 2021: ₩8,975,956 (64.85%); 2022: ₩5,812,157 (-35.25%); 2023: ₩7,619,652 (31.10%); 2024: ₩11,025,066 (44.69%); 2025: ₩11,142,468 (1.06%)"
13,32,"₩63,076,221",6207.62%,118,"2014: ₩461,966 (-53.80%); 2015: ₩384,105 (-16.85%); 2016: ₩551,590 (43.60%); 2017: ₩2,361,712 (328.16%); 2018: ₩7,957,465 (236.94%); 2019: ₩11,206,127 (40.83%); 2020: ₩16,188,107 (44.46%); 2021: ₩26,972,384 (66.62%); 2022: ₩17,782,453 (-34.07%); 2023: ₩24,303,587 (36.67%); 2024: ₩62,861,260 (158.65%); 2025: ₩63,076,221 (0.34%)"
13,33,"₩77,835,420",7683.54%,114,"2014: ₩473,117 (-52.69%); 2015: ₩411,241 (-13.08%); 2016: ₩583,232 (41.82%); 2017: ₩2,451,022 (320.25%); 2018: ₩8,226,352 (235.63%); 2019: ₩11,698,616 (42.21%); 2020: ₩20,167,580 (72.39%); 2021: ₩34,050,334 (68.84%); 2022: ₩22,572,795 (-33.71%); 2023: ₩30,160,365 (33.61%); 2024: ₩77,570,160 (157.19%); 2025: ₩77,835,420 (0.34%)"
13,34,"₩73,786,916",7278.69%,110,"2014: ₩471,108 (-52.89%); 2015: ₩408,786 (-13.23%); 2016: ₩619,115 (51.45%); 2017: ₩2,636,501 (325.85%); 2018: ₩8,027,072 (204.46%); 2019: ₩11,381,020 (41.78%); 2020: ₩18,956,997 (66.57%); 2021: ₩32,652,076 (72.24%); 2022: ₩22,310,662 (-31.67%); 2023: ₩28,592,577 (28.16%); 2024: ₩73,294,058 (156.34%); 2025: ₩73,786,916 (0.67%)"
13,35,"₩81,841,064",8084.11%,108,"2014: ₩487,973 (-51.20%); 2015: ₩423,420 (-13.23%); 2016: ₩641,278 (51.45%); 2017: ₩2,676,792 (317.42%); 2018: ₩8,142,850 (204.20%); 2019: ₩10,823,775 (32.92%); 2020: ₩20,365,598 (88.16%); 2021: ₩36,644,748 (79.93%); 2022: ₩24,983,175 (-31.82%); 2023: ₩32,412,845 (29.74%); 2024: ₩83,203,564 (156.70%); 2025: ₩81,841,064 (-1.64%)"
13,36,"₩587,956,795",58695.68%,106,"2014: ₩650,098 (-34.99%); 2015: ₩560,026 (-13.86%); 2016: ₩851,612 (52.07%); 2017: ₩3,849,162 (351.99%); 2018: ₩11,752,201 (205.32%); 2019: ₩15,621,457 (32.92%); 2020: ₩28,217,318 (80.63%); 2021: ₩241,264,470 (755.02%); 2022: ₩191,630,252 (-20.57%); 2023: ₩245,586,735 (28.16%); 2024: ₩595,922,903 (142.65%); 2025: ₩587,956,795 (-1.34%)"
13,37,"₩736,115,689",73511.57%,96,"2014: ₩866,615 (-13.34%); 2015: ₩747,840 (-13.71%); 2016: ₩1,179,862 (57.77%); 2017: ₩5,511,005 (367.09%); 2018: ₩9,712,901 (76.25%); 2019: ₩20,663,737 (112.75%); 2020: ₩37,325,279 (80.63%); 2021: ₩304,706,901 (716.36%); 2022: ₩238,101,159 (-21.86%); 2023: ₩295,372,398 (24.05%); 2024: ₩744,066,275 (151.91%); 2025: ₩736,115,689 (-1.07%)"
13,38,"₩570,677,383",56967.74%,96,"2014: ₩869,542 (-13.05%); 2015: ₩736,871 (-15.26%); 2016: ₩1,162,556 (57.77%); 2017: ₩5,430,170 (367.09%); 2018: ₩15,445,981 (184.45%); 2019: ₩16,845,667 (9.06%); 2020: ₩29,684,594 (76.22%); 2021: ₩251,401,164 (746.91%); 2022: ₩188,628,033 (-24.97%); 2023: ₩233,395,921 (23.73%); 2024: ₩576,841,114 (147.15%); 2025: ₩570,677,383 (-1.07%)"
13,39,"₩549,522,927",54852.29%,94,"2014: ₩885,645 (-11.44%); 2015: ₩750,517 (-15.26%); 2016: ₩1,887,005 (151.43%); 2017: ₩5,721,840 (203.22%); 2018: ₩9,581,403 (67.45%); 2019: ₩18,329,263 (91.30%); 2020: ₩31,862,290 (73.83%); 2021: ₩255,280,661 (701.20%); 2022: ₩185,433,073 (-27.36%); 2023: ₩226,322,025 (22.05%); 2024: ₩555,458,175 (145.43%); 2025: ₩549,522,927 (-1.07%)"
13,40,"₩256,800,566",25580.06%,94,"2014: ₩881,253 (-11.87%); 2015: ₩1,105,446 (25.44%); 2016: ₩1,923,002 (73.96%); 2017: ₩5,830,991 (203.22%); 2018: ₩16,879,324 (189.48%); 2019: ₩18,468,015 (9.41%); 2020: ₩24,071,252 (30.34%); 2021: ₩192,858,867 (701.20%); 2022: ₩81,736,385 (-57.62%); 2023: ₩105,763,784 (29.40%); 2024: ₩259,574,199 (145.43%); 2025: ₩256,800,566 (-1.07%)"
13,41,"₩131,583,489",13058.35%,94,"2014: ₩539,339 (-46.07%); 2015: ₩676,547 (25.44%); 2016: ₩1,026,056 (51.66%); 2017: ₩3,111,240 (203.22%); 2018: ₩9,173,563 (194.85%); 2019: ₩9,989,130 (8.89%); 2020: ₩12,795,611 (28.10%); 2021: ₩98,820,041 (672.30%); 2022: ₩41,881,367 (-57.62%); 2023: ₩54,192,901 (29.40%); 2024: ₩133,004,686 (145.43%); 2025: ₩131,583,489 (-1.07%)"
13,42,"₩103,276,616",10227.66%,94,"2014: ₩563,030 (-43.70%); 2015: ₩677,661 (20.36%); 2016: ₩927,964 (36.94%); 2017: ₩2,813,803 (203.22%); 2018: ₩7,720,007 (174.36%); 2019: ₩8,653,769 (12.10%); 2020: ₩10,688,939 (23.52%); 2021: ₩82,348,167 (670.41%); 2022: ₩31,918,076 (-61.24%); 2023: ₩41,590,421 (30.30%); 2024: ₩102,074,641 (145.43%); 2025: ₩103,276,616 (1.18%)"
13,43,"₩51,563,247",5056.32%,86,"2014: ₩563,030 (-43.70%); 2015: ₩685,347 (21.72%); 2016: ₩826,256 (20.56%); 2017: ₩2,544,675 (207.98%); 2018: ₩7,156,421 (181.23%); 2019: ₩7,947,427 (11.05%); 2020: ₩9,816,481 (23.52%); 2021: ₩42,816,993 (336.17%); 2022: ₩16,456,159 (-61.57%); 2023: ₩21,276,676 (29.29%); 2024: ₩50,963,133 (139.53%); 2025: ₩51,563,247 (1.18%)"
13,44,"₩43,912,805",4291.28%,82,"2014: ₩563,030 (-43.70%); 2015: ₩509,083 (-9.58%); 2016: ₩1,035,010 (103.31%); 2017: ₩3,187,589 (207.98%); 2018: ₩12,593,889 (295.09%); 2019: ₩12,263,379 (-2.62%); 2020: ₩15,554,580 (26.84%); 2021: ₩38,820,442 (149.58%); 2022: ₩14,787,494 (-61.91%); 2023: ₩19,234,892 (30.08%); 2024: ₩46,090,767 (139.62%); 2025: ₩43,912,805 (-4.73%)"
13,45,"₩191,054,394",19005.44%,80,"2014: ₩554,279 (-44.57%); 2015: ₩507,020 (-8.53%); 2016: ₩1,030,816 (103.31%); 2017: ₩3,174,672 (207.98%); 2018: ₩12,175,318 (283.51%); 2019: ₩11,784,746 (-3.21%); 2020: ₩20,457,144 (73.59%); 2021: ₩104,415,217 (410.41%); 2022: ₩37,897,842 (-63.70%); 2023: ₩50,818,956 (34.09%); 2024: ₩191,054,394 (275.95%)"
13,46,"₩128,018,736",12701.87%,80,"2014: ₩554,279 (-44.57%); 2015: ₩518,399 (-6.47%); 2016: ₩1,094,861 (111.20%); 2017: ₩3,090,289 (182.25%); 2018: ₩8,702,237 (181.60%); 2019: ₩8,423,078 (-3.21%); 2020: ₩14,699,314 (74.51%); 2021: ₩70,030,476 (376.42%); 2022: ₩25,621,665 (-63.41%); 2023: ₩35,283,501 (37.71%); 2024: ₩128,018,736 (262.83%)"
13,47,"₩144,850,817",14385.08%,76,"2014: ₩554,279 (-44.57%); 2015: ₩527,269 (-4.87%); 2016: ₩1,113,595 (111.20%); 2017: ₩3,143,164 (182.25%); 2018: ₩9,921,140 (215.64%); 2019: ₩10,460,146 (5.43%); 2020: ₩17,495,841 (67.26%); 2021: ₩83,353,693 (376.42%); 2022: ₩30,253,493 (-63.70%); 2023: ₩43,212,154 (42.83%); 2024: ₩144,850,817 (235.21%)"
