n,m,final_balance,total_return,trade_count,yearly_details
12,22,"₩38,683",-96.13%,1066,"2014: ₩180,918 (-81.91%); 2015: ₩183,313 (1.32%); 2016: ₩122,266 (-33.30%); 2017: ₩590,999 (383.37%); 2018: ₩230,806 (-60.95%); 2019: ₩209,558 (-9.21%); 2020: ₩359,672 (71.63%); 2021: ₩373,392 (3.81%); 2022: ₩58,511 (-84.33%); 2023: ₩48,144 (-17.72%); 2024: ₩42,315 (-12.11%); 2025: ₩38,683 (-8.58%)"
12,23,"₩55,322",-94.47%,1032,"2014: ₩227,871 (-77.21%); 2015: ₩204,141 (-10.41%); 2016: ₩132,078 (-35.30%); 2017: ₩616,491 (366.76%); 2018: ₩196,575 (-68.11%); 2019: ₩237,708 (20.92%); 2020: ₩316,909 (33.32%); 2021: ₩430,926 (35.98%); 2022: ₩70,883 (-83.55%); 2023: ₩64,961 (-8.36%); 2024: ₩60,316 (-7.15%); 2025: ₩55,322 (-8.28%)"
12,24,"₩129,081",-87.09%,956,"2014: ₩210,251 (-78.97%); 2015: ₩246,175 (17.09%); 2016: ₩179,043 (-27.27%); 2017: ₩778,167 (334.63%); 2018: ₩333,018 (-57.20%); 2019: ₩500,525 (50.30%); 2020: ₩651,219 (30.11%); 2021: ₩816,012 (25.31%); 2022: ₩157,617 (-80.68%); 2023: ₩159,752 (1.35%); 2024: ₩137,207 (-14.11%); 2025: ₩129,081 (-5.92%)"
12,25,"₩164,941",-83.51%,924,"2014: ₩193,064 (-80.69%); 2015: ₩223,115 (15.57%); 2016: ₩153,729 (-31.10%); 2017: ₩849,370 (452.51%); 2018: ₩331,265 (-61.00%); 2019: ₩489,706 (47.83%); 2020: ₩621,700 (26.95%); 2021: ₩701,157 (12.78%); 2022: ₩194,590 (-72.25%); 2023: ₩194,310 (-0.14%); 2024: ₩176,250 (-9.29%); 2025: ₩164,941 (-6.42%)"
12,26,"₩236,730",-76.33%,902,"2014: ₩242,385 (-75.76%); 2015: ₩315,161 (30.03%); 2016: ₩194,222 (-38.37%); 2017: ₩1,402,825 (622.28%); 2018: ₩395,723 (-71.79%); 2019: ₩555,136 (40.28%); 2020: ₩879,340 (58.40%); 2021: ₩883,423 (0.46%); 2022: ₩254,526 (-71.19%); 2023: ₩246,106 (-3.31%); 2024: ₩252,961 (2.79%); 2025: ₩236,730 (-6.42%)"
12,27,"₩560,420",-43.96%,852,"2014: ₩256,639 (-74.34%); 2015: ₩330,474 (28.77%); 2016: ₩219,759 (-33.50%); 2017: ₩2,671,240 (1115.53%); 2018: ₩923,573 (-65.43%); 2019: ₩1,139,021 (23.33%); 2020: ₩1,761,979 (54.69%); 2021: ₩1,680,121 (-4.65%); 2022: ₩559,384 (-66.71%); 2023: ₩519,876 (-7.06%); 2024: ₩606,173 (16.60%); 2025: ₩560,420 (-7.55%)"
12,28,"₩1,060,718",6.07%,832,"2014: ₩360,296 (-63.97%); 2015: ₩471,606 (30.89%); 2016: ₩340,457 (-27.81%); 2017: ₩4,478,534 (1215.45%); 2018: ₩1,851,643 (-58.66%); 2019: ₩2,197,039 (18.65%); 2020: ₩3,003,167 (36.69%); 2021: ₩3,289,886 (9.55%); 2022: ₩976,854 (-70.31%); 2023: ₩1,007,977 (3.19%); 2024: ₩1,154,298 (14.52%); 2025: ₩1,060,718 (-8.11%)"
12,29,"₩1,196,636",19.66%,810,"2014: ₩331,692 (-66.83%); 2015: ₩412,352 (24.32%); 2016: ₩289,905 (-29.69%); 2017: ₩3,892,219 (1242.59%); 2018: ₩1,946,969 (-49.98%); 2019: ₩2,491,003 (27.94%); 2020: ₩3,218,822 (29.22%); 2021: ₩3,262,117 (1.35%); 2022: ₩1,168,186 (-64.19%); 2023: ₩1,251,344 (7.12%); 2024: ₩1,335,737 (6.74%); 2025: ₩1,196,636 (-10.41%)"
12,30,"₩1,638,849",63.88%,772,"2014: ₩350,905 (-64.91%); 2015: ₩445,548 (26.97%); 2016: ₩305,233 (-31.49%); 2017: ₩4,251,460 (1292.86%); 2018: ₩2,734,628 (-35.68%); 2019: ₩2,684,009 (-1.85%); 2020: ₩3,028,068 (12.82%); 2021: ₩3,787,586 (25.08%); 2022: ₩1,397,614 (-63.10%); 2023: ₩1,630,596 (16.67%); 2024: ₩1,829,321 (12.19%); 2025: ₩1,638,849 (-10.41%)"
12,31,"₩801,441",-19.86%,758,"2014: ₩303,410 (-69.66%); 2015: ₩313,682 (3.39%); 2016: ₩248,184 (-20.88%); 2017: ₩2,397,257 (865.92%); 2018: ₩1,707,551 (-28.77%); 2019: ₩1,610,244 (-5.70%); 2020: ₩2,057,599 (27.78%); 2021: ₩2,387,975 (16.06%); 2022: ₩803,920 (-66.33%); 2023: ₩771,147 (-4.08%); 2024: ₩916,646 (18.87%); 2025: ₩801,441 (-12.57%)"
12,32,"₩2,495,055",149.51%,728,"2014: ₩325,674 (-67.43%); 2015: ₩340,452 (4.54%); 2016: ₩269,597 (-20.81%); 2017: ₩2,246,883 (733.42%); 2018: ₩1,809,177 (-19.48%); 2019: ₩1,911,432 (5.65%); 2020: ₩2,253,237 (17.88%); 2021: ₩5,651,770 (150.83%); 2022: ₩2,003,568 (-64.55%); 2023: ₩2,274,512 (13.52%); 2024: ₩2,716,159 (19.42%); 2025: ₩2,495,055 (-8.14%)"
12,33,"₩3,044,990",204.50%,706,"2014: ₩341,307 (-65.87%); 2015: ₩371,566 (8.87%); 2016: ₩300,466 (-19.14%); 2017: ₩3,155,961 (950.35%); 2018: ₩1,714,588 (-45.67%); 2019: ₩2,028,483 (18.31%); 2020: ₩2,368,329 (16.75%); 2021: ₩6,875,783 (190.32%); 2022: ₩2,539,722 (-63.06%); 2023: ₩2,902,318 (14.28%); 2024: ₩3,300,446 (13.72%); 2025: ₩3,044,990 (-7.74%)"
12,34,"₩4,174,719",317.47%,702,"2014: ₩342,863 (-65.71%); 2015: ₩367,163 (7.09%); 2016: ₩398,304 (8.48%); 2017: ₩4,074,818 (923.04%); 2018: ₩2,686,588 (-34.07%); 2019: ₩3,101,592 (15.45%); 2020: ₩3,577,686 (15.35%); 2021: ₩9,213,655 (157.53%); 2022: ₩3,298,363 (-64.20%); 2023: ₩4,085,290 (23.86%); 2024: ₩4,514,136 (10.50%); 2025: ₩4,174,719 (-7.52%)"
12,35,"₩9,442,884",844.29%,682,"2014: ₩599,867 (-40.01%); 2015: ₩583,099 (-2.80%); 2016: ₩685,873 (17.63%); 2017: ₩10,339,520 (1407.50%); 2018: ₩5,740,192 (-44.48%); 2019: ₩6,264,842 (9.14%); 2020: ₩8,539,403 (36.31%); 2021: ₩22,768,270 (166.63%); 2022: ₩7,483,198 (-67.13%); 2023: ₩9,318,044 (24.52%); 2024: ₩10,263,181 (10.14%); 2025: ₩9,442,884 (-7.99%)"
12,36,"₩8,454,972",745.50%,660,"2014: ₩682,302 (-31.77%); 2015: ₩624,674 (-8.45%); 2016: ₩788,684 (26.26%); 2017: ₩11,998,893 (1421.38%); 2018: ₩6,982,223 (-41.81%); 2019: ₩8,119,589 (16.29%); 2020: ₩11,803,943 (45.38%); 2021: ₩20,680,978 (75.20%); 2022: ₩6,698,743 (-67.61%); 2023: ₩8,237,024 (22.96%); 2024: ₩9,213,713 (11.86%); 2025: ₩8,454,972 (-8.23%)"
12,37,"₩7,318,312",631.83%,652,"2014: ₩730,737 (-26.93%); 2015: ₩711,542 (-2.63%); 2016: ₩951,446 (33.72%); 2017: ₩10,055,653 (956.88%); 2018: ₩6,348,526 (-36.87%); 2019: ₩7,460,905 (17.52%); 2020: ₩11,470,091 (53.74%); 2021: ₩17,369,769 (51.44%); 2022: ₩5,662,406 (-67.40%); 2023: ₩6,967,901 (23.06%); 2024: ₩7,975,050 (14.45%); 2025: ₩7,318,312 (-8.23%)"
12,38,"₩4,706,461",370.65%,654,"2014: ₩666,242 (-33.38%); 2015: ₩620,620 (-6.85%); 2016: ₩807,874 (30.17%); 2017: ₩7,084,979 (776.99%); 2018: ₩4,644,531 (-34.45%); 2019: ₩5,196,997 (11.89%); 2020: ₩7,434,650 (43.06%); 2021: ₩10,224,142 (37.52%); 2022: ₩3,317,045 (-67.56%); 2023: ₩4,790,782 (44.43%); 2024: ₩5,204,367 (8.63%); 2025: ₩4,706,461 (-9.57%)"
12,39,"₩5,838,477",483.85%,646,"2014: ₩739,593 (-26.04%); 2015: ₩746,703 (0.96%); 2016: ₩1,051,921 (40.88%); 2017: ₩7,342,197 (597.98%); 2018: ₩4,755,427 (-35.23%); 2019: ₩5,990,073 (25.96%); 2020: ₩8,384,517 (39.97%); 2021: ₩13,435,949 (60.25%); 2022: ₩4,272,693 (-68.20%); 2023: ₩6,174,108 (44.50%); 2024: ₩6,459,451 (4.62%); 2025: ₩5,838,477 (-9.61%)"
12,40,"₩6,750,903",575.09%,616,"2014: ₩677,016 (-32.30%); 2015: ₩685,499 (1.25%); 2016: ₩968,708 (41.31%); 2017: ₩7,191,849 (642.42%); 2018: ₩4,813,575 (-33.07%); 2019: ₩6,127,959 (27.31%); 2020: ₩8,761,256 (42.97%); 2021: ₩14,119,994 (61.16%); 2022: ₩4,631,773 (-67.20%); 2023: ₩6,950,699 (50.07%); 2024: ₩7,469,116 (7.46%); 2025: ₩6,750,903 (-9.62%)"
12,41,"₩11,115,163",1011.52%,616,"2014: ₩622,454 (-37.75%); 2015: ₩657,449 (5.62%); 2016: ₩920,835 (40.06%); 2017: ₩8,539,203 (827.33%); 2018: ₩5,392,040 (-36.86%); 2019: ₩6,887,633 (27.74%); 2020: ₩10,348,080 (50.24%); 2021: ₩17,583,702 (69.92%); 2022: ₩6,420,455 (-63.49%); 2023: ₩9,735,610 (51.63%); 2024: ₩12,297,679 (26.32%); 2025: ₩11,115,163 (-9.62%)"
12,42,"₩11,018,091",1001.81%,614,"2014: ₩649,563 (-35.04%); 2015: ₩701,800 (8.04%); 2016: ₩934,206 (33.12%); 2017: ₩10,270,128 (999.34%); 2018: ₩5,575,634 (-45.71%); 2019: ₩7,112,152 (27.56%); 2020: ₩10,308,174 (44.94%); 2021: ₩17,204,651 (66.90%); 2022: ₩6,781,073 (-60.59%); 2023: ₩9,779,257 (44.21%); 2024: ₩12,186,240 (24.61%); 2025: ₩11,018,091 (-9.59%)"
12,43,"₩10,508,749",950.87%,596,"2014: ₩590,115 (-40.99%); 2015: ₩729,845 (23.68%); 2016: ₩990,568 (35.72%); 2017: ₩9,922,693 (901.72%); 2018: ₩5,621,157 (-43.35%); 2019: ₩7,095,476 (26.23%); 2020: ₩10,222,537 (44.07%); 2021: ₩17,126,370 (67.54%); 2022: ₩7,249,044 (-57.67%); 2023: ₩11,014,002 (51.94%); 2024: ₩11,750,325 (6.69%); 2025: ₩10,508,749 (-10.57%)"
12,44,"₩11,369,614",1036.96%,580,"2014: ₩573,488 (-42.65%); 2015: ₩504,305 (-12.06%); 2016: ₩701,519 (39.11%); 2017: ₩7,621,917 (986.49%); 2018: ₩4,615,949 (-39.44%); 2019: ₩5,969,200 (29.32%); 2020: ₩8,952,978 (49.99%); 2021: ₩18,082,054 (101.97%); 2022: ₩8,364,324 (-53.74%); 2023: ₩12,951,779 (54.85%); 2024: ₩12,712,899 (-1.84%); 2025: ₩11,369,614 (-10.57%)"
12,45,"₩12,501,057",1150.11%,574,"2014: ₩504,221 (-49.58%); 2015: ₩445,547 (-11.64%); 2016: ₩603,735 (35.50%); 2017: ₩6,576,360 (989.28%); 2018: ₩4,019,843 (-38.87%); 2019: ₩5,226,702 (30.02%); 2020: ₩10,060,391 (92.48%); 2021: ₩18,582,912 (84.71%); 2022: ₩9,119,548 (-50.93%); 2023: ₩13,889,914 (52.31%); 2024: ₩14,021,174 (0.94%); 2025: ₩12,501,057 (-10.84%)"
12,46,"₩10,745,829",974.58%,562,"2014: ₩610,325 (-38.97%); 2015: ₩390,679 (-35.99%); 2016: ₩513,249 (31.37%); 2017: ₩5,208,412 (914.79%); 2018: ₩3,182,135 (-38.90%); 2019: ₩4,940,472 (55.26%); 2020: ₩9,007,025 (82.31%); 2021: ₩16,831,876 (86.87%); 2022: ₩8,161,868 (-51.51%); 2023: ₩12,449,574 (52.53%); 2024: ₩12,320,848 (-1.03%); 2025: ₩10,745,829 (-12.78%)"
12,47,"₩12,983,630",1198.36%,542,"2014: ₩624,219 (-37.58%); 2015: ₩340,515 (-45.45%); 2016: ₩464,048 (36.28%); 2017: ₩4,636,729 (899.19%); 2018: ₩2,583,718 (-44.28%); 2019: ₩4,223,206 (63.45%); 2020: ₩8,915,905 (111.12%); 2021: ₩16,524,840 (85.34%); 2022: ₩9,162,239 (-44.55%); 2023: ₩14,471,405 (57.95%); 2024: ₩15,031,938 (3.87%); 2025: ₩12,983,630 (-13.63%)"
12,48,"₩11,613,258",1061.33%,536,"2014: ₩673,471 (-32.65%); 2015: ₩419,072 (-37.77%); 2016: ₩524,002 (25.04%); 2017: ₩5,216,865 (895.58%); 2018: ₩2,585,473 (-50.44%); 2019: ₩4,235,850 (63.83%); 2020: ₩8,387,849 (98.02%); 2021: ₩15,418,983 (83.83%); 2022: ₩7,826,404 (-49.24%); 2023: ₩12,340,652 (57.68%); 2024: ₩12,847,470 (4.11%); 2025: ₩11,613,258 (-9.61%)"
12,49,"₩13,736,603",1273.66%,528,"2014: ₩462,790 (-53.72%); 2015: ₩297,736 (-35.66%); 2016: ₩366,170 (22.98%); 2017: ₩4,136,466 (1029.66%); 2018: ₩2,913,965 (-29.55%); 2019: ₩4,934,238 (69.33%); 2020: ₩10,055,452 (103.79%); 2021: ₩17,461,637 (73.65%); 2022: ₩8,907,219 (-48.99%); 2023: ₩13,972,575 (56.87%); 2024: ₩15,510,456 (11.01%); 2025: ₩13,736,603 (-11.44%)"
12,50,"₩11,618,863",1061.89%,516,"2014: ₩530,668 (-46.93%); 2015: ₩343,863 (-35.20%); 2016: ₩419,636 (22.04%); 2017: ₩4,373,988 (942.33%); 2018: ₩2,999,265 (-31.43%); 2019: ₩4,107,464 (36.95%); 2020: ₩8,472,252 (106.26%); 2021: ₩13,174,752 (55.50%); 2022: ₩7,024,695 (-46.68%); 2023: ₩11,207,091 (59.54%); 2024: ₩13,119,245 (17.06%); 2025: ₩11,618,863 (-11.44%)"
12,51,"₩10,280,105",928.01%,514,"2014: ₩543,960 (-45.60%); 2015: ₩358,466 (-34.10%); 2016: ₩450,765 (25.75%); 2017: ₩5,054,209 (1021.25%); 2018: ₩3,346,352 (-33.79%); 2019: ₩4,140,856 (23.74%); 2020: ₩8,382,909 (102.44%); 2021: ₩12,658,408 (51.00%); 2022: ₩6,482,225 (-48.79%); 2023: ₩10,356,839 (59.77%); 2024: ₩11,635,097 (12.34%); 2025: ₩10,280,105 (-11.65%)"
12,52,"₩10,533,539",953.35%,502,"2014: ₩519,995 (-48.00%); 2015: ₩343,703 (-33.90%); 2016: ₩420,391 (22.31%); 2017: ₩4,222,818 (904.50%); 2018: ₩2,793,455 (-33.85%); 2019: ₩3,716,869 (33.06%); 2020: ₩7,313,196 (96.76%); 2021: ₩11,991,397 (63.97%); 2022: ₩6,484,026 (-45.93%); 2023: ₩10,080,534 (55.47%); 2024: ₩11,921,935 (18.27%); 2025: ₩10,533,539 (-11.65%)"
12,53,"₩14,184,162",1318.42%,500,"2014: ₩583,878 (-41.61%); 2015: ₩408,001 (-30.12%); 2016: ₩533,813 (30.84%); 2017: ₩4,788,532 (797.04%); 2018: ₩3,314,328 (-30.79%); 2019: ₩4,810,661 (45.15%); 2020: ₩9,748,877 (102.65%); 2021: ₩17,431,960 (78.81%); 2022: ₩9,304,564 (-46.62%); 2023: ₩13,865,299 (49.02%); 2024: ₩16,053,738 (15.78%); 2025: ₩14,184,162 (-11.65%)"
12,54,"₩16,445,763",1544.58%,488,"2014: ₩552,239 (-44.78%); 2015: ₩510,947 (-7.48%); 2016: ₩634,431 (24.17%); 2017: ₩5,509,403 (768.40%); 2018: ₩3,926,485 (-28.73%); 2019: ₩5,520,867 (40.61%); 2020: ₩11,840,804 (114.47%); 2021: ₩21,761,296 (83.78%); 2022: ₩11,494,085 (-47.18%); 2023: ₩14,890,791 (29.55%); 2024: ₩18,051,150 (21.22%); 2025: ₩16,445,763 (-8.89%)"
12,55,"₩15,443,627",1444.36%,494,"2014: ₩652,170 (-34.78%); 2015: ₩542,807 (-16.77%); 2016: ₩659,124 (21.43%); 2017: ₩5,694,068 (763.88%); 2018: ₩3,792,683 (-33.39%); 2019: ₩5,321,232 (40.30%); 2020: ₩10,684,893 (100.80%); 2021: ₩19,942,712 (86.64%); 2022: ₩10,916,347 (-45.26%); 2023: ₩14,458,162 (32.45%); 2024: ₩16,951,188 (17.24%); 2025: ₩15,443,627 (-8.89%)"
12,56,"₩24,432,250",2343.23%,482,"2014: ₩593,553 (-40.64%); 2015: ₩637,441 (7.39%); 2016: ₩778,039 (22.06%); 2017: ₩7,391,303 (849.99%); 2018: ₩4,844,038 (-34.46%); 2019: ₩8,474,099 (74.94%); 2020: ₩16,693,715 (97.00%); 2021: ₩29,402,596 (76.13%); 2022: ₩17,146,168 (-41.68%); 2023: ₩23,620,215 (37.76%); 2024: ₩26,881,507 (13.81%); 2025: ₩24,432,250 (-9.11%)"
12,57,"₩43,237,777",4223.78%,486,"2014: ₩798,621 (-20.14%); 2015: ₩857,672 (7.39%); 2016: ₩1,025,427 (19.56%); 2017: ₩8,144,515 (694.26%); 2018: ₩7,509,385 (-7.80%); 2019: ₩13,261,421 (76.60%); 2020: ₩24,723,292 (86.43%); 2021: ₩43,879,158 (77.48%); 2022: ₩25,620,218 (-41.61%); 2023: ₩35,396,666 (38.16%); 2024: ₩47,572,229 (34.40%); 2025: ₩43,237,777 (-9.11%)"
12,58,"₩81,413,422",8041.34%,472,"2014: ₩848,508 (-15.15%); 2015: ₩1,398,731 (64.85%); 2016: ₩1,707,250 (22.06%); 2017: ₩15,676,174 (818.21%); 2018: ₩14,930,678 (-4.76%); 2019: ₩26,259,918 (75.88%); 2020: ₩49,644,456 (89.05%); 2021: ₩89,327,798 (79.94%); 2022: ₩47,766,130 (-46.53%); 2023: ₩65,590,933 (37.32%); 2024: ₩91,618,866 (39.68%); 2025: ₩81,413,422 (-11.14%)"
12,59,"₩75,437,334",7443.73%,466,"2014: ₩950,194 (-4.98%); 2015: ₩1,568,537 (65.08%); 2016: ₩1,847,299 (17.77%); 2017: ₩16,424,328 (789.10%); 2018: ₩14,992,831 (-8.72%); 2019: ₩19,655,591 (31.10%); 2020: ₩37,490,054 (90.73%); 2021: ₩102,349,022 (173.00%); 2022: ₩52,911,327 (-48.30%); 2023: ₩70,006,156 (32.31%); 2024: ₩84,893,655 (21.27%); 2025: ₩75,437,334 (-11.14%)"
12,60,"₩114,637,068",11363.71%,462,"2014: ₩801,462 (-19.85%); 2015: ₩1,343,932 (67.69%); 2016: ₩1,548,159 (15.20%); 2017: ₩18,909,661 (1121.43%); 2018: ₩17,437,718 (-7.78%); 2019: ₩23,882,252 (36.96%); 2020: ₩46,852,967 (96.18%); 2021: ₩138,421,892 (195.44%); 2022: ₩74,558,307 (-46.14%); 2023: ₩103,751,203 (39.15%); 2024: ₩126,129,077 (21.57%); 2025: ₩114,637,068 (-9.11%)"
12,61,"₩118,601,768",11760.18%,454,"2014: ₩860,523 (-13.95%); 2015: ₩1,380,285 (60.40%); 2016: ₩1,568,896 (13.66%); 2017: ₩18,908,112 (1105.19%); 2018: ₩17,873,270 (-5.47%); 2019: ₩25,173,279 (40.84%); 2020: ₩49,225,462 (95.55%); 2021: ₩144,492,985 (193.53%); 2022: ₩76,414,221 (-47.12%); 2023: ₩107,394,037 (40.54%); 2024: ₩130,491,226 (21.51%); 2025: ₩118,601,768 (-9.11%)"
12,62,"₩93,938,253",9293.83%,460,"2014: ₩810,058 (-18.99%); 2015: ₩1,310,124 (61.73%); 2016: ₩1,346,072 (2.74%); 2017: ₩17,706,814 (1215.44%); 2018: ₩15,167,916 (-14.34%); 2019: ₩17,789,526 (17.28%); 2020: ₩35,130,752 (97.48%); 2021: ₩107,915,066 (207.18%); 2022: ₩58,357,743 (-45.92%); 2023: ₩86,869,923 (48.86%); 2024: ₩104,971,670 (20.84%); 2025: ₩93,938,253 (-10.51%)"
12,63,"₩54,473,167",5347.32%,450,"2014: ₩799,451 (-20.05%); 2015: ₩1,235,841 (54.59%); 2016: ₩1,294,560 (4.75%); 2017: ₩17,480,694 (1250.32%); 2018: ₩11,246,619 (-35.66%); 2019: ₩12,577,400 (11.83%); 2020: ₩25,266,710 (100.89%); 2021: ₩48,552,527 (92.16%); 2022: ₩26,898,446 (-44.60%); 2023: ₩40,208,076 (49.48%); 2024: ₩59,683,434 (48.44%); 2025: ₩54,473,167 (-8.73%)"
12,64,"₩33,274,581",3227.46%,442,"2014: ₩819,546 (-18.05%); 2015: ₩1,268,548 (54.79%); 2016: ₩1,417,740 (11.76%); 2017: ₩16,859,640 (1089.19%); 2018: ₩10,365,240 (-38.52%); 2019: ₩8,536,982 (-17.64%); 2020: ₩16,475,852 (92.99%); 2021: ₩28,905,556 (75.44%); 2022: ₩15,523,584 (-46.30%); 2023: ₩24,560,843 (58.22%); 2024: ₩36,457,239 (48.44%); 2025: ₩33,274,581 (-8.73%)"
12,65,"₩22,669,746",2166.97%,430,"2014: ₩942,356 (-5.76%); 2015: ₩1,466,471 (55.62%); 2016: ₩1,586,299 (8.17%); 2017: ₩8,209,534 (417.53%); 2018: ₩5,199,723 (-36.66%); 2019: ₩5,672,333 (9.09%); 2020: ₩10,704,888 (88.72%); 2021: ₩19,456,577 (81.75%); 2022: ₩10,772,429 (-44.63%); 2023: ₩17,561,551 (63.02%); 2024: ₩25,316,190 (44.16%); 2025: ₩22,669,746 (-10.45%)"
12,66,"₩24,091,391",2309.14%,422,"2014: ₩874,241 (-12.58%); 2015: ₩1,250,306 (43.02%); 2016: ₩1,356,298 (8.48%); 2017: ₩6,978,272 (414.51%); 2018: ₩4,722,742 (-32.32%); 2019: ₩5,379,177 (13.90%); 2020: ₩10,305,313 (91.58%); 2021: ₩18,406,347 (78.61%); 2022: ₩10,356,381 (-43.73%); 2023: ₩16,971,903 (63.88%); 2024: ₩26,903,798 (58.52%); 2025: ₩24,091,391 (-10.45%)"
12,67,"₩35,984,870",3498.49%,428,"2014: ₩849,408 (-15.06%); 2015: ₩1,219,229 (43.54%); 2016: ₩1,317,504 (8.06%); 2017: ₩11,607,252 (781.00%); 2018: ₩7,738,907 (-33.33%); 2019: ₩10,008,560 (29.33%); 2020: ₩17,766,733 (77.52%); 2021: ₩31,213,382 (75.68%); 2022: ₩16,137,265 (-48.30%); 2023: ₩25,454,102 (57.73%); 2024: ₩40,046,637 (57.33%); 2025: ₩35,984,870 (-10.14%)"
12,68,"₩26,626,306",2562.63%,408,"2014: ₩916,683 (-8.33%); 2015: ₩1,285,640 (40.25%); 2016: ₩1,395,846 (8.57%); 2017: ₩9,987,847 (615.54%); 2018: ₩5,584,843 (-44.08%); 2019: ₩6,672,567 (19.48%); 2020: ₩12,594,743 (88.75%); 2021: ₩22,293,016 (77.00%); 2022: ₩11,994,834 (-46.19%); 2023: ₩18,838,627 (57.06%); 2024: ₩29,631,732 (57.29%); 2025: ₩26,626,306 (-10.14%)"
12,69,"₩54,516,190",5351.62%,406,"2014: ₩913,796 (-8.62%); 2015: ₩1,286,364 (40.77%); 2016: ₩1,401,338 (8.94%); 2017: ₩15,831,689 (1029.76%); 2018: ₩8,895,492 (-43.81%); 2019: ₩13,355,836 (50.14%); 2020: ₩24,298,666 (81.93%); 2021: ₩43,855,529 (80.49%); 2022: ₩24,148,185 (-44.94%); 2023: ₩37,982,397 (57.29%); 2024: ₩60,669,668 (59.73%); 2025: ₩54,516,190 (-10.14%)"
12,70,"₩35,236,249",3423.62%,402,"2014: ₩875,070 (-12.49%); 2015: ₩1,225,116 (40.00%); 2016: ₩1,243,305 (1.48%); 2017: ₩11,091,902 (792.13%); 2018: ₩5,602,128 (-49.49%); 2019: ₩7,921,468 (41.40%); 2020: ₩14,672,209 (85.22%); 2021: ₩25,965,512 (76.97%); 2022: ₩14,985,426 (-42.29%); 2023: ₩25,452,923 (69.85%); 2024: ₩39,211,251 (54.05%); 2025: ₩35,236,249 (-10.14%)"
12,71,"₩49,397,487",4839.75%,386,"2014: ₩983,385 (-1.66%); 2015: ₩1,479,482 (50.45%); 2016: ₩1,518,394 (2.63%); 2017: ₩13,571,945 (793.84%); 2018: ₩6,889,406 (-49.24%); 2019: ₩10,955,136 (59.01%); 2020: ₩20,513,642 (87.25%); 2021: ₩35,860,173 (74.81%); 2022: ₩19,745,825 (-44.94%); 2023: ₩32,446,896 (64.32%); 2024: ₩54,887,748 (69.16%); 2025: ₩49,397,487 (-10.00%)"
12,72,"₩45,169,773",4416.98%,388,"2014: ₩973,499 (-2.65%); 2015: ₩1,535,306 (57.71%); 2016: ₩1,599,727 (4.20%); 2017: ₩12,995,005 (712.33%); 2018: ₩6,801,883 (-47.66%); 2019: ₩9,992,300 (46.90%); 2020: ₩17,258,851 (72.72%); 2021: ₩30,323,463 (75.70%); 2022: ₩17,653,587 (-41.78%); 2023: ₩28,887,507 (63.64%); 2024: ₩50,097,041 (73.42%); 2025: ₩45,169,773 (-9.84%)"
12,73,"₩76,459,774",7545.98%,384,"2014: ₩918,151 (-8.18%); 2015: ₩1,531,500 (66.80%); 2016: ₩1,597,747 (4.33%); 2017: ₩21,738,764 (1260.59%); 2018: ₩11,339,360 (-47.84%); 2019: ₩17,291,811 (52.49%); 2020: ₩29,600,352 (71.18%); 2021: ₩52,258,829 (76.55%); 2022: ₩30,324,073 (-41.97%); 2023: ₩48,050,466 (58.46%); 2024: ₩83,140,192 (73.03%); 2025: ₩76,459,774 (-8.04%)"
12,74,"₩21,236,567",2023.66%,380,"2014: ₩1,096,766 (9.68%); 2015: ₩1,056,970 (-3.63%); 2016: ₩1,158,642 (9.62%); 2017: ₩7,642,502 (559.61%); 2018: ₩4,910,801 (-35.74%); 2019: ₩7,858,025 (60.02%); 2020: ₩12,977,359 (65.15%); 2021: ₩20,543,450 (58.30%); 2022: ₩12,190,317 (-40.66%); 2023: ₩13,921,079 (14.20%); 2024: ₩23,885,149 (71.58%); 2025: ₩21,236,567 (-11.09%)"
12,75,"₩15,291,172",1429.12%,378,"2014: ₩734,351 (-26.56%); 2015: ₩733,965 (-0.05%); 2016: ₩808,127 (10.10%); 2017: ₩5,364,624 (563.83%); 2018: ₩3,495,966 (-34.83%); 2019: ₩5,498,856 (57.29%); 2020: ₩9,328,015 (69.64%); 2021: ₩15,028,335 (61.11%); 2022: ₩8,400,975 (-44.10%); 2023: ₩9,810,695 (16.78%); 2024: ₩17,183,611 (75.15%); 2025: ₩15,291,172 (-11.01%)"
12,76,"₩16,593,370",1559.34%,382,"2014: ₩751,655 (-24.83%); 2015: ₩741,571 (-1.34%); 2016: ₩771,681 (4.06%); 2017: ₩6,071,616 (686.80%); 2018: ₩3,797,476 (-37.46%); 2019: ₩5,874,702 (54.70%); 2020: ₩9,843,411 (67.56%); 2021: ₩15,833,189 (60.85%); 2022: ₩9,070,924 (-42.71%); 2023: ₩10,682,569 (17.77%); 2024: ₩18,646,969 (74.56%); 2025: ₩16,593,370 (-11.01%)"
12,77,"₩22,279,759",2127.98%,376,"2014: ₩751,545 (-24.85%); 2015: ₩655,360 (-12.80%); 2016: ₩703,882 (7.40%); 2017: ₩5,410,107 (668.61%); 2018: ₩3,620,749 (-33.07%); 2019: ₩7,165,484 (97.90%); 2020: ₩12,394,274 (72.97%); 2021: ₩21,073,979 (70.03%); 2022: ₩12,022,029 (-42.95%); 2023: ₩13,920,676 (15.79%); 2024: ₩24,996,099 (79.56%); 2025: ₩22,279,759 (-10.87%)"
